node_id,lat,lon
1333379851,16.0660171,108.2245523
1333379867,16.0551062,108.2188556
1333379870,16.0673684,108.2237777
1333379873,16.056989,108.2180774
1333379875,16.0673864,108.22259
1333379878,16.0570586,108.2188606
1333394780,16.0611073,108.2215046
1333394782,16.0580042,108.2120952
1333394784,16.0410575,108.2177122
1333394786,16.062606,108.223295
1333394789,16.0606623,108.2110204
1333394792,16.0564216,108.2221672
1333394794,16.0578584,108.2108889
1333394797,16.0604112,108.2093669
1333394815,16.0587562,108.2117224
1333394818,16.0576893,108.2098537
1333394820,16.05797,108.2118309
1333394822,16.056526,108.2202226
1333394824,16.0414014,108.2208669
1333394826,16.0540237,108.2209868
1333394852,16.0627371,108.2219559
1333394854,16.0587858,108.2119843
1333394855,16.0540261,108.2202302
1333394858,16.0566982,108.2100687
1333394861,16.056466,108.221383
1333394864,16.0586214,108.2107977
1333698576,16.0579695,108.2387248
1333698579,16.0736715,108.2436122
1333698581,16.0837809,108.2215895
1333698586,16.0739023,108.2200593
1333698587,16.0702044,108.2450827
1333698589,16.0636936,108.2383019
1333698604,16.0967589,108.245312
1333698605,16.0837708,108.2194899
1333698606,16.0637679,108.2326482
1333698627,16.0751102,108.2165958
1333698631,16.0585478,108.2407416
1333698632,16.0663727,108.2370314
1333698636,16.0548515,108.2413668
1333698646,16.075104,108.2062224
1333698647,16.0800724,108.2325275
1333698648,16.0808036,108.2146712
1333698651,16.0810762,108.2190783
1333698655,16.0659699,108.2302742
1333698657,16.0688335,108.2431385
1333698660,16.0728578,108.2314403
1333698662,16.0730556,108.2430004
1333698664,16.0536737,108.2368126
1333698666,16.0852402,108.217846
1333698667,16.0641146,108.2325071
1333698671,16.0704017,108.2430755
1333698673,16.0655555,108.2398088
1333698677,16.071683,108.2442994
1333698682,16.067131,108.2345674
1333698683,16.0763218,108.2197132
1333698684,16.0807383,108.2436621
1333698688,16.0754561,108.2410177
1333698695,16.0803133,108.2448562
1333698699,16.0648759,108.2322479
1333698703,16.0716223,108.2430472
1333698705,16.0771733,108.2087543
1333698710,16.0735503,108.2398184
1333698713,16.0832216,108.2219998
1333698716,16.0652312,108.231317
1333698720,16.0686849,108.2388026
1333698722,16.0693176,108.2353999
1333698725,16.0717122,108.2450249
1333698735,16.0774177,108.242843
1333698736,16.0554864,108.23831
1333698738,16.0899518,108.2423224
1333698747,16.0532655,108.236987
1333698752,16.0966906,108.2454271
1333698755,16.0752395,108.2178613
1333698759,16.054551,108.2403187
1333698765,16.0536682,108.236618
1333698767,16.0672779,108.243184
1333698771,16.0562136,108.2408133
1333698772,16.0663998,108.2316903
1333698778,16.0759404,108.2166949
1333698780,16.0701569,108.237849
1333698781,16.0612895,108.2329901
1333698783,16.0573192,108.236435
1333698786,16.0867331,108.2408516
1333698787,16.0830138,108.2219535
1333698788,16.083173,108.2170416
1333698790,16.0677103,108.232596
